[['ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:20:54'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.559', '0.565', '0.646', '0.037', '15.829', '0.204', '401.532', ''], []]
[['ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:20:49'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.783', '0.798', '2.142', '0.062', '18.285', '0.185', '252.581', ''], []]
[['ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False'], ['Profile Summary'], ['Generated on: 2021-11-19 17:20:16'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '2.248', '2.283', '2.567', '0.109', '10.789', '1.459', '667.460', ''], []]
[['ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:21:14'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.643', '1.659', '2.091', '0.056', '7.566', '1.264', '790.409', ''], []]
[['ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:34:00'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.784', '0.790', '0.883', '0.032', '9.394', '0.612', '835.310', ''], []]
[['ResidualBlock-in_32x56x56-out_48-k_3-e_6-s_2-act_relu-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:20:40'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.546', '0.688', '11.397', '0.057', '25.442', '0.170', '350.514', ''], []]
[['ResidualBlock-in_136x14x14-out_192-k_3-e_4-s_2-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:33:41'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.852', '0.860', '0.948', '0.040', '10.929', '0.564', '701.588', ''], []]
[['ResidualBlock-in_136x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:33:35'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.598', '1.606', '1.794', '0.070', '9.769', '0.387', '249.846', ''], []]
[['ResidualBlock-in_136x14x14-out_192-k_5-e_4-s_2-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:33:45'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.902', '0.918', '2.152', '0.041', '10.476', '0.587', '685.257', ''], []]
[['ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False'], ['Profile Summary'], ['Generated on: 2021-11-19 17:21:17'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.261', '1.269', '1.440', '0.055', '9.898', '0.187', '154.985', ''], []]
[['ResidualBlock-in_32x56x56-out_48-k_7-e_6-s_2-act_relu-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:20:54'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.183', '1.191', '1.388', '0.069', '13.201', '0.199', '176.161', ''], []]
[['ResidualBlock-in_48x28x28-out_96-k_3-e_6-s_2-act_h_swish-use_se_False'], ['Profile Summary'], ['Generated on: 2021-11-19 17:21:30'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.135', '1.150', '1.330', '0.034', '6.841', '1.612', '1476.999', ''], []]
[['ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False'], ['Profile Summary'], ['Generated on: 2021-11-19 17:34:09'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '1.222', '1.233', '1.404', '0.089', '16.574', '1.453', '1240.881', ''], []]
[['ResidualBlock-in_192x7x7-out_192-k_3-e_4-s_1-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:33:56'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.779', '0.797', '2.430', '0.030', '9.020', '0.600', '817.728', ''], []]
[['ResidualBlock-in_96x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True'], ['Profile Summary'], ['Generated on: 2021-11-19 17:21:04'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.925', '0.934', '1.355', '0.043', '10.681', '0.219', '249.819', ''], []]
[['ResidualBlock-in_96x14x14-out_96-k_3-e_6-s_1-act_h_swish-use_se_False'], ['Profile Summary'], ['Generated on: 2021-11-19 17:21:08'], ['XRT build version: 0.0.0'], ['Build version branch: N/A'], ['Build version hash: N/A'], ['Build version date: N/A'], ['Target devices: N/A'], [], ['DPU Summary'], ['Kernel Name', 'Number Of Runs', 'CU Full Name', 'Minimum Time (ms)', 'Average Time (ms)', 'Maximum Time (ms)', 'Workload(GOP)', 'DPU Performance(GOP/s)', 'Mem IO(MB)', 'Mem Bandwidth(MB/s)', ''], ['subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9', '500', 'DPUCZDX8G_1:batch-1', '0.698', '0.704', '0.828', '0.046', '15.422', '0.165', '254.920', ''], []]
